iter	Logloss
0	0.5397134014
1	0.4329831198
2	0.3497238283
3	0.2956118968
4	0.2482402349
5	0.2156214014
6	0.186921956
7	0.1662400005
8	0.1477038097
9	0.1352848749
10	0.1205993509
11	0.1083109859
12	0.09898823356
13	0.09160581093
14	0.0855129699
15	0.07888687351
16	0.07149846488
17	0.06644501512
18	0.06289702336
19	0.05929759598
20	0.05675015446
21	0.05489425809
22	0.05201016541
23	0.05074967768
24	0.0476496705
25	0.04541486388
26	0.04297718493
27	0.04116731288
28	0.03971905264
29	0.03833188647
30	0.03622623167
31	0.03484420564
32	0.03387489828
33	0.03298470422
34	0.03130769524
35	0.03009282174
36	0.02866110356
37	0.0280533454
38	0.0271407714
39	0.02626837349
40	0.02514272298
41	0.02456094714
42	0.02371410758
43	0.02294343772
44	0.02204873383
45	0.02094774348
46	0.02033904379
47	0.01980119286
48	0.01905437236
49	0.01808831728
50	0.01768656418
51	0.01715314943
52	0.01664126649
53	0.01624310452
54	0.01541504546
55	0.01504151109
56	0.01477631535
57	0.01424253196
58	0.01392987018
59	0.01348107979
60	0.01315383453
61	0.01277069354
62	0.01238821745
63	0.0121341124
64	0.01209501605
65	0.01195395432
66	0.01174413557
67	0.01141678952
68	0.01135072851
69	0.01097134411
70	0.01069422302
71	0.0104598904
72	0.01040625624
73	0.01009781628
74	0.009815548673
75	0.009747447319
76	0.009486900771
77	0.009342295331
78	0.009154060776
79	0.009145187776
80	0.00899645598
81	0.008732316976
82	0.008696319073
83	0.008546664232
84	0.008327666856
85	0.008115111693
86	0.007969589997
87	0.007784091961
88	0.007673522029
89	0.007582933951
90	0.007422753729
91	0.007396608363
92	0.00739196575
93	0.007158343619
94	0.007041212054
95	0.007040993386
96	0.006900431488
97	0.006715349219
98	0.006685145112
99	0.006554225518
100	0.006554141679
101	0.006530038168
102	0.006530074848
103	0.006504292726
104	0.006369381009
105	0.006274227086
106	0.006075913007
107	0.00605475512
108	0.005970389914
109	0.005892779685
110	0.005870862492
111	0.005755249816
112	0.005731023482
113	0.005633835848
114	0.005608940995
115	0.005512503463
116	0.005512498223
117	0.005508349739
118	0.005505666875
119	0.005395645772
120	0.005333956282
121	0.005213991772
122	0.005077630571
123	0.004987168864
124	0.004928334674
125	0.004928305854
126	0.004924840663
127	0.004836829642
128	0.004770479746
129	0.004706831985
130	0.004617171422
131	0.004514476819
132	0.004427882585
133	0.004359452667
134	0.004264362144
135	0.004220657666
136	0.0041797773
137	0.004179577133
138	0.00413294923
139	0.004074667197
140	0.004074621871
141	0.004074593837
142	0.004019591797
143	0.004019570575
144	0.003984049333
145	0.003984060861
146	0.003944534926
147	0.003888393341
148	0.003888342251
149	0.003837770342
150	0.003769553024
151	0.003709678825
152	0.00367773525
153	0.003607253717
154	0.003607209963
155	0.003568256923
156	0.003533998186
157	0.00347279815
158	0.003421240753
159	0.003421102477
160	0.003421089579
161	0.003421021198
162	0.003359315464
163	0.003359261492
164	0.00335922193
165	0.003359230838
166	0.003339931169
167	0.003339931169
168	0.00333997335
169	0.003339872642
170	0.003339624791
171	0.003339640773
172	0.003339623219
173	0.003339630555
174	0.003322546666
175	0.003322589533
176	0.003322565167
177	0.003322610231
178	0.003290187841
179	0.003290184697
180	0.003290146707
181	0.003290148017
182	0.003290148017
183	0.003246815369
184	0.003246783405
185	0.003246813797
186	0.003246668126
187	0.003212040501
188	0.003212064081
189	0.003177727411
190	0.003177724267
191	0.003177642786
192	0.003177519647
193	0.00317666652
194	0.003175324302
195	0.00317528212
196	0.003151378931
197	0.003151378669
198	0.003150675305
199	0.00312434523
